Record generated at : Wed Nov 11 00:35:57 IST 2020 Temperature : 49.61, Humidity : 21.624, Device Id: 3
Record generated at : Wed Nov 11 00:35:57 IST 2020 Temperature : 36.398, Humidity : 12.575, Device Id: 1
Record generated at : Wed Nov 11 00:35:57 IST 2020 Temperature : 58.042, Humidity : 35.613, Device Id: 2
Record generated at : Wed Nov 11 00:35:57 IST 2020 Temperature : 42.066, Humidity : 35.769, Device Id: 4
Record generated at : Wed Nov 11 00:36:02 IST 2020 Temperature : 17.14, Humidity : 14.286, Device Id: 2
Record generated at : Wed Nov 11 00:36:02 IST 2020 Temperature : 34.988, Humidity : 20.094, Device Id: 1
Record generated at : Wed Nov 11 00:36:02 IST 2020 Temperature : 41.454, Humidity : 16.626, Device Id: 4
Record generated at : Wed Nov 11 00:36:02 IST 2020 Temperature : 50.891, Humidity : 14.284, Device Id: 3
Record generated at : Wed Nov 11 00:36:07 IST 2020 Temperature : 25.8, Humidity : 18.046, Device Id: 2
Record generated at : Wed Nov 11 00:36:07 IST 2020 Temperature : 57.001, Humidity : 22.138, Device Id: 4
Record generated at : Wed Nov 11 00:36:07 IST 2020 Temperature : 23.569, Humidity : 31.588, Device Id: 3
Record generated at : Wed Nov 11 00:36:07 IST 2020 Temperature : 43.634, Humidity : 23.194, Device Id: 1
Record generated at : Wed Nov 11 00:36:12 IST 2020 Temperature : 23.385, Humidity : 23.748, Device Id: 2
Record generated at : Wed Nov 11 00:36:12 IST 2020 Temperature : 40.79, Humidity : 15.505, Device Id: 4
Record generated at : Wed Nov 11 00:36:12 IST 2020 Temperature : 44.536, Humidity : 39.243, Device Id: 3
Record generated at : Wed Nov 11 00:36:12 IST 2020 Temperature : 22.989, Humidity : 20.825, Device Id: 1
Record generated at : Wed Nov 11 00:36:17 IST 2020 Temperature : 51.13, Humidity : 12.879, Device Id: 2
Record generated at : Wed Nov 11 00:36:17 IST 2020 Temperature : 50.691, Humidity : 15.376, Device Id: 3
Record generated at : Wed Nov 11 00:36:17 IST 2020 Temperature : 23.769, Humidity : 37.143, Device Id: 4
Record generated at : Wed Nov 11 00:36:17 IST 2020 Temperature : 44.791, Humidity : 28.326, Device Id: 1
Record generated at : Wed Nov 11 00:36:22 IST 2020 Temperature : 59.963, Humidity : 28.332, Device Id: 2
Record generated at : Wed Nov 11 00:36:22 IST 2020 Temperature : 53.449, Humidity : 14.403, Device Id: 3
Record generated at : Wed Nov 11 00:36:22 IST 2020 Temperature : 32.469, Humidity : 38.264, Device Id: 4
Record generated at : Wed Nov 11 00:36:22 IST 2020 Temperature : 50.948, Humidity : 23.182, Device Id: 1
Record generated at : Wed Nov 11 00:36:27 IST 2020 Temperature : 43.977, Humidity : 38.693, Device Id: 2
Record generated at : Wed Nov 11 00:36:27 IST 2020 Temperature : 48.993, Humidity : 23.939, Device Id: 3
Record generated at : Wed Nov 11 00:36:27 IST 2020 Temperature : 22.799, Humidity : 39.957, Device Id: 4
Record generated at : Wed Nov 11 00:36:27 IST 2020 Temperature : 56.498, Humidity : 26.003, Device Id: 1
Record generated at : Wed Nov 11 00:36:32 IST 2020 Temperature : 49.241, Humidity : 11.704, Device Id: 2
Record generated at : Wed Nov 11 00:36:32 IST 2020 Temperature : 35.933, Humidity : 22.733, Device Id: 3
Record generated at : Wed Nov 11 00:36:32 IST 2020 Temperature : 31.105, Humidity : 33.661, Device Id: 4
Record generated at : Wed Nov 11 00:36:32 IST 2020 Temperature : 40.274, Humidity : 20.88, Device Id: 1
Record generated at : Wed Nov 11 00:36:37 IST 2020 Temperature : 39.049, Humidity : 30.664, Device Id: 2
Record generated at : Wed Nov 11 00:36:37 IST 2020 Temperature : 24.017, Humidity : 19.303, Device Id: 3
Record generated at : Wed Nov 11 00:36:37 IST 2020 Temperature : 52.004, Humidity : 28.132, Device Id: 1
Record generated at : Wed Nov 11 00:36:37 IST 2020 Temperature : 27.785, Humidity : 36.912, Device Id: 4
Record generated at : Wed Nov 11 00:36:42 IST 2020 Temperature : 23.993, Humidity : 28.011, Device Id: 2
Record generated at : Wed Nov 11 00:36:42 IST 2020 Temperature : 35.544, Humidity : 25.316, Device Id: 3
Record generated at : Wed Nov 11 00:36:42 IST 2020 Temperature : 20.558, Humidity : 27.509, Device Id: 1
Record generated at : Wed Nov 11 00:36:42 IST 2020 Temperature : 46.566, Humidity : 23.519, Device Id: 4
Record generated at : Wed Nov 11 00:36:47 IST 2020 Temperature : 59.887, Humidity : 23.55, Device Id: 2
Record generated at : Wed Nov 11 00:36:47 IST 2020 Temperature : 15.77, Humidity : 29.069, Device Id: 3
